fact_id,pid_id,measurement_date,measurement_time,location_id,tvoc_ppb,exceedance_flag,processed_at
987855d2-6c3f-42aa-afaa-a0b2c03f6a4d,PID_N,2026-05-25,17:41:51,LOC_N,64.8,0,2026-05-25 23:46:27.35838
e5e973ed-8d98-49ee-9f2c-b7b87eeb6295,PID_N,2026-05-25,17:42:51,LOC_N,65.2,0,2026-05-25 23:46:27.383666
7349e31c-f6f9-4c91-86d9-f80d1f3f4fb2,PID_N,2026-05-25,17:43:51,LOC_N,65.3,0,2026-05-25 23:46:27.404063
cd560146-2042-4766-a4ce-9bec95974afc,PID_N,2026-05-25,17:44:51,LOC_N,65.4,0,2026-05-25 23:46:27.423563
b687255a-e20e-4524-a073-87ec8174135b,PID_N,2026-05-25,17:45:51,LOC_N,65.3,0,2026-05-25 23:46:27.446004
0c51c6de-2892-43c5-a293-de12a09f0cf4,PID_N,2026-05-25,17:46:51,LOC_N,65.1,0,2026-05-25 23:46:27.464609
f7c8e8aa-40de-47be-90b0-82649d216169,PID_N,2026-05-25,17:47:51,LOC_N,65.2,0,2026-05-25 23:46:27.48366
292de08c-c079-4e16-a4a3-d49ab2198d64,PID_N,2026-05-25,17:48:51,LOC_N,65.5,0,2026-05-25 23:46:27.502091
bb00e7fa-e1ea-4a81-bd4e-2b1a2f57e6b1,PID_N,2026-05-25,17:49:51,LOC_N,65.8,0,2026-05-25 23:46:27.521664
32defd74-615f-4874-84d0-c58bec8741ec,PID_N,2026-05-25,17:50:51,LOC_N,65.4,0,2026-05-25 23:46:27.540655
ef7837ae-6a99-4f49-a4d2-3f843cd29342,PID_N,2026-05-25,17:51:51,LOC_N,65.2,0,2026-05-25 23:46:27.559664
322be4e2-b999-42db-b0db-4d51732cad35,PID_N,2026-05-25,17:52:51,LOC_N,65.2,0,2026-05-25 23:46:27.578776
7d8ad830-1425-40e4-ab9e-f332942fb6fa,PID_N,2026-05-25,17:53:51,LOC_N,64.9,0,2026-05-25 23:46:27.597979
1a11174a-9471-4d32-ba92-9b20063c4367,PID_N,2026-05-25,17:54:51,LOC_N,65.3,0,2026-05-25 23:46:27.617059
d436be4a-3a3e-400a-8856-d2ed0be1dd2f,PID_N,2026-05-25,17:55:51,LOC_N,65.4,0,2026-05-25 23:46:27.635792
ffb5fc8b-654b-4a92-84e6-fe3af7e30857,PID_N,2026-05-25,17:56:51,LOC_N,65.7,0,2026-05-25 23:46:27.657786
feade703-7aee-4b0a-bbe2-65fd2d70e331,PID_N,2026-05-25,17:57:51,LOC_N,65.6,0,2026-05-25 23:46:27.676272
4f0ddd60-d4e5-4add-a47c-936746bc251e,PID_N,2026-05-25,17:58:51,LOC_N,65.7,0,2026-05-25 23:46:27.695997
3a59f82f-317c-4e13-adae-d843fbebf44d,PID_N,2026-05-25,17:59:51,LOC_N,65.8,0,2026-05-25 23:46:27.714421
a20fe6f6-e546-42b4-a173-e1b9afa3a387,PID_N,2026-05-25,18:00:51,LOC_N,65.8,0,2026-05-25 23:46:27.73303
bb51f1c2-b794-444c-a517-68831fd1fc8c,PID_N,2026-05-25,18:01:51,LOC_N,65.8,0,2026-05-25 23:46:27.751932
1384c93c-cc38-4744-8e51-b95882f921e8,PID_N,2026-05-25,18:02:51,LOC_N,76.0,0,2026-05-25 23:46:27.771895
6f32851b-a533-4df0-90c3-cec81d1b7e8e,PID_N,2026-05-25,18:03:51,LOC_N,66.6,0,2026-05-25 23:46:27.790518
2efc0a8f-27b8-45f7-a249-727d3f413316,PID_N,2026-05-25,18:04:51,LOC_N,66.9,0,2026-05-25 23:46:27.809166
73c21d53-f3d1-4013-a19e-9a59f60e8984,PID_N,2026-05-25,18:05:51,LOC_N,67.3,0,2026-05-25 23:46:27.828001
3e1a9e9b-33c8-4568-a6d1-4e789c936ee1,PID_N,2026-05-25,18:06:51,LOC_N,67.1,0,2026-05-25 23:46:27.846886
12bb70eb-ea64-4943-af93-49db208c786f,PID_N,2026-05-25,18:07:51,LOC_N,66.8,0,2026-05-25 23:46:27.865412
d7b90205-9a77-44ef-8732-fd37c9ebef4e,PID_N,2026-05-25,18:08:51,LOC_N,76.2,0,2026-05-25 23:46:27.888056
b1f9d59f-15c6-46de-adcb-c1795ba2aaa7,PID_N,2026-05-25,18:09:51,LOC_N,66.8,0,2026-05-25 23:46:27.906947
35cde1c3-5003-4570-b44a-1137a1f2f2aa,PID_N,2026-05-25,18:10:51,LOC_N,67.0,0,2026-05-25 23:46:27.925644
18a4a20d-dc1d-4ba2-9009-628ae53b5a51,PID_N,2026-05-25,18:11:51,LOC_N,66.7,0,2026-05-25 23:46:27.945933
67e3966a-263e-4c1a-8ac5-ed42dd55a689,PID_N,2026-05-25,18:12:51,LOC_N,78.1,0,2026-05-25 23:46:27.964489
092e051a-204f-4515-9aea-d4402f5a4fdb,PID_N,2026-05-25,18:13:51,LOC_N,76.0,0,2026-05-25 23:46:27.985609
837f57cd-6b6a-4253-9e8e-3ab05dd8287b,PID_N,2026-05-25,18:14:51,LOC_N,79.0,0,2026-05-25 23:46:28.004647
996a88bc-e0df-426c-8ba4-7c83464285c2,PID_N,2026-05-25,18:15:51,LOC_N,77.9,0,2026-05-25 23:46:28.023734
5970c0b8-ebc1-4c0f-99b5-667dc155d9f3,PID_N,2026-05-25,18:16:51,LOC_N,66.7,0,2026-05-25 23:46:28.042714
77acd7da-d318-41c4-9608-b1f2c7a66b3a,PID_N,2026-05-25,18:17:51,LOC_N,79.7,0,2026-05-25 23:46:28.062698
b41b2748-44d7-4821-8797-c4516563076a,PID_N,2026-05-25,18:18:51,LOC_N,66.8,0,2026-05-25 23:46:28.082174
d36af560-4325-40cd-935f-d13cb2ab2407,PID_N,2026-05-25,18:19:51,LOC_N,67.1,0,2026-05-25 23:46:28.104688
0d1f5cd7-46bc-4882-8a92-83ba5f3ebf6c,PID_N,2026-05-25,18:20:51,LOC_N,67.4,0,2026-05-25 23:46:28.123512
8f544bc4-2c9e-484c-bb73-e49cc2da8a15,PID_N,2026-05-25,18:21:51,LOC_N,67.7,0,2026-05-25 23:46:28.142665
b5a022ec-2bcc-4a00-a435-8de16fb6bc92,PID_N,2026-05-25,18:22:51,LOC_N,76.4,0,2026-05-25 23:46:28.161364
59523257-62df-48e0-ab14-40459cc0bfac,PID_N,2026-05-25,18:23:51,LOC_N,77.2,0,2026-05-25 23:46:28.180491
06118c37-ed69-4c79-afec-4321fd92fd64,PID_N,2026-05-25,18:24:51,LOC_N,67.7,0,2026-05-25 23:46:28.202998
51b31a6e-578f-4d74-8cfd-125836035226,PID_N,2026-05-25,18:25:51,LOC_N,80.7,0,2026-05-25 23:46:28.22366
f8b411ef-c390-4d7d-bdf5-0e45d08f7b4f,PID_N,2026-05-25,18:26:51,LOC_N,67.5,0,2026-05-25 23:46:28.243764
aee73848-37e1-43ca-9abb-0acb12ddde80,PID_N,2026-05-25,18:27:51,LOC_N,67.5,0,2026-05-25 23:46:28.264621
